Instances,Source,feature_Density,feature_AlgConnectivity,feature_Energy,algo_RandomGreedy,algo_DSATUR,algo_Bktr,algo_HillClimber,algo_HEA,algo_PartialCol,algo_TabuCol,algo_AntCol
Bipartite-090-201Nodes-12693Edges-20000ExtraEdges,Bipartite,0.7822767351362,70.7615825802,5.67168739573,66,58,54,47,46,46,46,46
Bipartite-091-201Nodes-12693Edges-30000ExtraEdges,Bipartite,0.824983990936407,70.7923849179,5.22171557338,78,70,68,54,54,54,54,55
Bipartite-092-201Nodes-12693Edges-40000ExtraEdges,Bipartite,0.840451209300034,70.8019925064,5.00987579077,84,86,82,67,67,67,69,67
Bipartite-093-201Nodes-12693Edges-50000ExtraEdges,Bipartite,0.847150386680459,70.8069379549,4.91452572486,94,92,89,83,83,83,83,83
Bipartite-094-201Nodes-12693Edges-75000ExtraEdges,Bipartite,0.850598492685089,70.8096421019,4.86382828034,103,103,103,103,103,103,103,104
Bipartite-095-201Nodes-12693Edges-100000ExtraEdges,Bipartite,0.850746268656716,70.8098513666,4.86193749169,105,105,105,105,105,105,105,105
Bipartite-096-201Nodes-12693Edges-250000ExtraEdges,Bipartite,0.850844785971134,70.8099445624,4.85997634574,106,106,106,106,106,106,106,106
Bipartite-097-201Nodes-12693Edges-500000ExtraEdges,Bipartite,0.850844785971134,70.8099445624,4.85997634574,106,106,106,106,106,106,106,106
Bipartite-098-201Nodes-12693Edges-750000ExtraEdges,Bipartite,0.850844785971134,70.8099445624,4.85997634574,106,106,106,106,106,106,106,106
Bipartite-099-201Nodes-12693Edges-1000000ExtraEdges,Bipartite,0.850844785971134,70.8099445624,4.85997634574,106,106,106,106,106,106,106,106
Bipartite-100-495Nodes-13016Edges-00000ExtraEdges,Bipartite,0.095902574128381,27.558288439,5.37416891733,10,2,2,2,2,2,2,3
Bipartite-101-495Nodes-13016Edges-00100ExtraEdges,Bipartite,0.096709025741284,27.5947747819,5.41372117981,9,5,4,4,4,4,4,4
Bipartite-102-495Nodes-13016Edges-01000ExtraEdges,Bipartite,0.103885630498533,28.936533121,5.6586002586,13,9,7,6,6,6,6,6
Bipartite-103-495Nodes-13016Edges-02000ExtraEdges,Bipartite,0.111722059302704,31.8982504156,5.89468969938,18,12,10,9,8,9,8,9
Bipartite-104-495Nodes-13016Edges-03000ExtraEdges,Bipartite,0.119509612251547,34.7859620837,6.1118358968,21,14,13,11,10,10,10,10
Bipartite-105-495Nodes-13016Edges-04000ExtraEdges,Bipartite,0.127134245682632,38.5190791389,6.3095817197,22,17,15,13,12,12,12,12
Bipartite-106-495Nodes-13016Edges-05000ExtraEdges,Bipartite,0.134775171065493,41.3783523463,6.49437250343,22,18,17,15,13,13,13,13
Bipartite-107-495Nodes-13016Edges-07500ExtraEdges,Bipartite,0.152745193874226,45.605869133,6.89618238242,26,22,20,19,16,17,16,16
Bipartite-108-495Nodes-13016Edges-10000ExtraEdges,Bipartite,0.170193874226132,54.1436841242,7.22721711833,29,23,22,21,18,18,18,19
Bipartite-109-495Nodes-13016Edges-15000ExtraEdges,Bipartite,0.203087324861518,57.6259774826,7.75763616746,32,27,26,25,21,21,21,22
Bipartite-110-495Nodes-13016Edges-20000ExtraEdges,Bipartite,0.233341479309221,58.026785124,8.1616217108,36,30,28,28,24,24,24,25
Bipartite-111-495Nodes-13016Edges-30000ExtraEdges,Bipartite,0.287161942000651,58.3540746408,8.66583390025,44,37,34,33,28,29,29,29
Bipartite-112-495Nodes-13016Edges-40000ExtraEdges,Bipartite,0.332852720755946,58.491544679,8.90482345212,52,42,40,39,33,34,34,34
Bipartite-113-495Nodes-13016Edges-50000ExtraEdges,Bipartite,0.37144835451287,58.572012828,8.96286673048,58,49,47,44,37,38,38,38
Bipartite-114-495Nodes-13016Edges-75000ExtraEdges,Bipartite,0.445275333985011,58.667599916,8.70590525802,74,63,58,54,48,49,49,50
Bipartite-115-495Nodes-13016Edges-100000ExtraEdges,Bipartite,0.493866080156402,58.710917458,8.26451153141,88,82,77,65,58,59,59,60
Bipartite-116-495Nodes-13016Edges-250000ExtraEdges,Bipartite,0.58545128706419,58.7672958296,6.57894881546,154,158,153,141,141,141,142,141
Bipartite-117-495Nodes-13016Edges-500000ExtraEdges,Bipartite,0.59570707070707,58.7728197731,6.26727085637,249,244,244,244,244,244,244,245
Bipartite-118-495Nodes-13016Edges-750000ExtraEdges,Bipartite,0.595975887911371,58.7729455306,6.25912426203,267,267,267,267,267,267,267,267
Bipartite-119-495Nodes-13016Edges-1000000ExtraEdges,Bipartite,0.595975887911371,58.7729455306,6.25912426203,267,267,267,267,267,267,267,267
Bipartite-120-678Nodes-11156Edges-00000ExtraEdges,Bipartite,0.046081127460564,14.9278405863,4.584088113,8,2,2,2,2,2,2,2
Bipartite-121-678Nodes-11156Edges-00100ExtraEdges,Bipartite,0.046511223776072,14.9592473397,4.60898236155,10,4,4,4,4,4,4,4
Bipartite-122-678Nodes-11156Edges-01000ExtraEdges,Bipartite,0.050395123837328,16.0119947128,4.81136807723,12,8,7,6,6,6,6,6
Bipartite-123-678Nodes-11156Edges-02000ExtraEdges,Bipartite,0.054665676141819,17.9141536576,5.01934939567,14,12,9,8,7,7,7,8
Bipartite-124-678Nodes-11156Edges-03000ExtraEdges,Bipartite,0.058901473188491,18.9608403593,5.21506772379,16,13,11,9,9,9,9,9
Bipartite-125-678Nodes-11156Edges-04000ExtraEdges,Bipartite,0.063067759719525,21.7931217592,5.39710271541,17,14,13,11,10,10,10,10
Bipartite-126-678Nodes-11156Edges-05000ExtraEdges,Bipartite,0.067229701843332,21.9891411847,5.57322133685,18,15,14,12,11,11,11,12
Bipartite-127-678Nodes-11156Edges-07500ExtraEdges,Bipartite,0.077525946972165,29.5001530897,5.96601130084,20,16,15,14,13,13,13,14
Bipartite-128-678Nodes-11156Edges-10000ExtraEdges,Bipartite,0.08755718326013,29.9560337788,6.31402656574,22,18,17,16,14,14,14,15
Bipartite-129-678Nodes-11156Edges-15000ExtraEdges,Bipartite,0.10705922730373,30.2787322936,6.91780757612,26,21,20,19,16,16,16,18
Bipartite-130-678Nodes-11156Edges-20000ExtraEdges,Bipartite,0.125531646834447,30.4610599022,7.40812837545,29,24,22,21,18,19,18,19
Bipartite-131-678Nodes-11156Edges-30000ExtraEdges,Bipartite,0.160451992127934,30.6315788271,8.15658426131,34,29,28,27,22,23,23,25
Bipartite-132-678Nodes-11156Edges-40000ExtraEdges,Bipartite,0.19234862999118,30.7149108327,8.66956467807,40,35,33,31,27,27,27,27
Bipartite-133-678Nodes-11156Edges-50000ExtraEdges,Bipartite,0.221525668930102,30.7649633892,9.02397976132,45,40,39,35,30,30,30,31
Bipartite-134-678Nodes-11156Edges-75000ExtraEdges,Bipartite,0.283824468570385,30.8309193323,9.44563479726,57,50,49,45,38,39,39,39
Bipartite-135-678Nodes-11156Edges-100000ExtraEdges,Bipartite,0.334640999908767,30.8625998413,9.47641761875,68,62,58,55,46,48,47,47
Bipartite-136-678Nodes-11156Edges-250000ExtraEdges,Bipartite,0.486760418974633,30.910367647,7.59655919484,128,123,118,98,90,91,91,93
Bipartite-137-678Nodes-11156Edges-500000ExtraEdges,Bipartite,0.537668182864789,30.9207045887,5.85950578338,206,192,186,170,170,170,173,170
Bipartite-138-678Nodes-11156Edges-750000ExtraEdges,Bipartite,0.543311567853124,30.9216556293,5.58608504743,290,291,287,286,286,286,286,288
Bipartite-139-678Nodes-11156Edges-1000000ExtraEdges,Bipartite,0.543989295380591,30.9217812208,5.5522520496,331,330,330,330,330,330,330,331
Bipartite-140-604Nodes-3130Edges-00000ExtraEdges,Bipartite,0.01685731487056,2.38215931236,2.65916960093,7,2,2,2,2,2,2,2
Bipartite-141-604Nodes-3130Edges-00100ExtraEdges,Bipartite,0.017404630288435,2.39774698295,2.70625460965,7,5,4,4,4,4,4,4
Bipartite-142-604Nodes-3130Edges-01000ExtraEdges,Bipartite,0.022308576432598,3.48351041695,3.0727184532,9,6,6,6,5,5,5,5
Bipartite-143-604Nodes-3130Edges-02000ExtraEdges,Bipartite,0.027661321219419,4.51991086086,3.42090332259,9,8,7,7,6,6,6,7
Bipartite-144-604Nodes-3130Edges-03000ExtraEdges,Bipartite,0.032942915001916,6.34846167911,3.72769541314,11,9,8,7,7,7,7,7
Bipartite-145-604Nodes-3130Edges-04000ExtraEdges,Bipartite,0.038131465163374,9.06569335458,4.00338527315,12,9,8,8,8,8,7,8
Bipartite-146-604Nodes-3130Edges-05000ExtraEdges,Bipartite,0.043320015324832,11.0396354734,4.26189564396,14,10,9,9,8,8,8,9
Bipartite-147-604Nodes-3130Edges-07500ExtraEdges,Bipartite,0.055957528323573,13.172150729,4.81483421455,15,11,11,11,10,10,10,10
Bipartite-148-604Nodes-3130Edges-10000ExtraEdges,Bipartite,0.068315910459198,13.4185961142,5.28399265749,17,13,12,12,11,11,11,12
Bipartite-149-604Nodes-3130Edges-15000ExtraEdges,Bipartite,0.092135077445132,13.6276795552,6.02018684342,22,17,16,15,13,14,14,15
Bipartite-150-604Nodes-3130Edges-20000ExtraEdges,Bipartite,0.114815828361884,13.710569329,6.58842566776,25,21,18,18,16,16,16,18
Bipartite-151-604Nodes-3130Edges-30000ExtraEdges,Bipartite,0.156149088719829,13.7961464437,7.36576675312,32,26,24,24,21,21,21,23
Bipartite-152-604Nodes-3130Edges-40000ExtraEdges,Bipartite,0.192977943188659,13.8393509835,7.84106824475,38,32,29,29,24,26,25,26
Bipartite-153-604Nodes-3130Edges-50000ExtraEdges,Bipartite,0.226331344753981,13.8631588824,8.12520726042,44,38,37,34,29,30,29,30
Bipartite-154-604Nodes-3130Edges-75000ExtraEdges,Bipartite,0.294789557221826,13.893580077,8.29697267695,57,51,49,44,39,40,40,39
Bipartite-155-604Nodes-3130Edges-100000ExtraEdges,Bipartite,0.346872092386842,13.9070759531,8.07510841227,70,64,60,53,48,49,48,49
Bipartite-156-604Nodes-3130Edges-250000ExtraEdges,Bipartite,0.481637567730282,13.9278033668,5.46597105425,133,131,126,104,102,102,105,103
Bipartite-157-604Nodes-3130Edges-500000ExtraEdges,Bipartite,0.512599200919489,13.9312089327,3.89141015051,223,220,217,216,216,216,216,217
Bipartite-158-604Nodes-3130Edges-750000ExtraEdges,Bipartite,0.514695418969952,13.9314763908,3.73802823493,297,296,296,296,296,296,296,296
Bipartite-159-604Nodes-3130Edges-1000000ExtraEdges,Bipartite,0.514821301516063,13.9314879254,3.72835199866,311,311,311,311,311,311,311,311
Bipartite-160-767Nodes-7290Edges-00000ExtraEdges,Bipartite,0.024160691003911,6.33253012504,3.58321367734,8,2,2,2,2,2,2,2
Bipartite-161-767Nodes-7290Edges-00100ExtraEdges,Bipartite,0.024493426770969,6.34602880639,3.61096390135,8,5,4,4,4,4,4,4
Bipartite-162-767Nodes-7290Edges-01000ExtraEdges,Bipartite,0.02752539656671,8.14358693584,3.83745359646,11,8,7,6,5,5,5,6
Bipartite-163-767Nodes-7290Edges-02000ExtraEdges,Bipartite,0.030869730551934,10.5369239457,4.06535620389,12,9,8,7,7,7,7,7
Bipartite-164-767Nodes-7290Edges-03000ExtraEdges,Bipartite,0.034193692959583,12.4053136244,4.27782998383,12,10,9,9,8,8,8,8
Bipartite-165-767Nodes-7290Edges-04000ExtraEdges,Bipartite,0.037493888526728,13.6183199753,4.48042351767,14,11,10,9,9,9,8,9
Bipartite-166-767Nodes-7290Edges-05000ExtraEdges,Bipartite,0.04076352672751,14.9582652892,4.66804931215,15,11,11,10,9,9,9,10
Bipartite-167-767Nodes-7290Edges-07500ExtraEdges,Bipartite,0.04885783355063,18.6293110725,5.09574819509,16,13,12,11,10,10,10,11
Bipartite-168-767Nodes-7290Edges-10000ExtraEdges,Bipartite,0.056843491960017,21.0590800012,5.47987802002,18,14,13,13,11,11,11,12
Bipartite-169-767Nodes-7290Edges-15000ExtraEdges,Bipartite,0.072356448283355,21.4042273471,6.12774589887,21,17,16,15,13,13,13,15
Bipartite-170-767Nodes-7290Edges-20000ExtraEdges,Bipartite,0.087424625162973,21.5491751506,6.66919466505,24,20,18,18,16,16,15,17
Bipartite-171-767Nodes-7290Edges-30000ExtraEdges,Bipartite,0.115897300086918,21.6863648679,7.50605358549,29,24,23,22,20,19,19,19
Bipartite-172-767Nodes-7290Edges-40000ExtraEdges,Bipartite,0.14248560408518,21.7550810554,8.1136272022,35,29,28,27,23,23,23,23
Bipartite-173-767Nodes-7290Edges-50000ExtraEdges,Bipartite,0.167430600825727,21.7944651315,8.56377185577,40,34,31,31,26,27,26,29
Bipartite-174-767Nodes-7290Edges-75000ExtraEdges,Bipartite,0.223095936549326,21.8472157116,9.24615890641,51,45,42,41,34,35,35,35
Bipartite-175-767Nodes-7290Edges-100000ExtraEdges,Bipartite,0.269841916558018,21.8746998906,9.49219526188,61,55,52,49,42,43,42,43
Bipartite-176-767Nodes-7290Edges-250000ExtraEdges,Bipartite,0.431361364624076,21.9175050464,8.13486208268,117,112,107,91,83,84,83,83
Bipartite-177-767Nodes-7290Edges-500000ExtraEdges,Bipartite,0.505493535419382,21.9271408195,5.65558056252,188,178,178,156,153,153,156,153
Bipartite-178-767Nodes-7290Edges-750000ExtraEdges,Bipartite,0.519465042372881,21.9283399851,4.83591593019,252,253,246,238,238,238,239,238
Bipartite-179-767Nodes-7290Edges-1000000ExtraEdges,Bipartite,0.522075999565406,21.9284874013,4.65282698699,333,332,331,331,331,331,331,331
Bipartite-180-945Nodes-3823Edges-00000ExtraEdges,Bipartite,0.008487980581004,0.836501331768,2.36179548097,8,2,2,2,2,2,2,2
Bipartite-181-945Nodes-3823Edges-00100ExtraEdges,Bipartite,0.008711701734958,0.83737236743,2.39537888734,8,4,3,4,3,3,3,3
Bipartite-182-945Nodes-3823Edges-01000ExtraEdges,Bipartite,0.010718480485922,1.73648224315,2.66429150206,8,5,5,5,5,5,5,5
Bipartite-183-945Nodes-3823Edges-02000ExtraEdges,Bipartite,0.012926608275445,2.66208003836,2.93031952867,10,6,6,6,5,5,5,6
Bipartite-184-945Nodes-3823Edges-03000ExtraEdges,Bipartite,0.01512578721881,2.70507963808,3.17081866974,9,7,6,6,6,6,6,6
Bipartite-185-945Nodes-3823Edges-04000ExtraEdges,Bipartite,0.017340626642952,2.76584070009,3.39511199557,10,7,7,7,6,6,6,7
Bipartite-186-945Nodes-3823Edges-05000ExtraEdges,Bipartite,0.01952861952862,2.79755019543,3.60264974139,11,8,7,7,7,7,7,7
